,LHON,MELAS,ADOA,Leigh,MERRF,KSS,Alpers,LBSL,PDD,PEO,MS,Parkin,ALS,AD,Epil,Schiz,FA,HSP,WD,N/A
126,Interconversion of nucleotide di- and triphosphates,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Nucleobase biosynthesis,GPCR downstream signalling,Resolution of AP sites via the single-nucleotide replacement pathway,Signaling by GPCR,Nitric oxide stimulates guanylate cyclase,,,Neutrophil degranulation,Cytochrome c-mediated apoptotic response,Other interleukin signaling,Pyruvate metabolism and Citric Acid (TCA) cycle,Enzymatic degradation of dopamine by COMT,Endogenous sterols,TP53 Regulates Transcription of Genes Involved in Cytochrome C Release,Base Excision Repair,Metabolism of cofactors,HIV Infection,N/A
127,Metabolism of ingested H2SeO4 and H2SeO3 into H2Se,Mitochondrial calcium ion transport,Mitochondrial Fatty Acid Beta-Oxidation,Transcription from mitochondrial promoters,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Resolution of AP sites via the single-nucleotide replacement pathway,G alpha (s) signalling events,,,Innate Immune System,Synthesis of 12-eicosatetraenoic acid derivatives,Extracellular matrix organization,Creatine metabolism,Dopamine clearance from the synaptic cleft,Apoptotic execution phase,TP53 Regulates Transcription of Cell Death Genes,Formation of apoptosome,Mitochondrial translation elongation,Influenza Virus Induced Apoptosis,N/A
128,Metabolism of nucleotides,Processing of SMDT1,Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA,Mitochondrial transcription initiation,Resolution of Abasic Sites (AP sites),Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Platelet homeostasis,,,PINK1-PRKN Mediated Mitophagy,Synthesis of 15-eicosatetraenoic acid derivatives,Formation of apoptosome,Josephin domain DUBs,Ub-specific processing proteases,Reversible hydration of carbon dioxide,"Activation, translocation and oligomerization of BAX",Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA,Mitochondrial translation termination,Influenza Infection,N/A
129,Selenoamino acid metabolism,Transport of small molecules,mitochondrial fatty acid beta-oxidation of saturated fatty acids,Glycerophospholipid biosynthesis,PCNA-Dependent Long Patch Base Excision Repair,Resolution of Abasic Sites (AP sites),GPCR downstream signalling,,,Mitophagy,Synthesis of 5-eicosatetraenoic acids,Pyruvate metabolism and Citric Acid (TCA) cycle,Amyloid fiber formation,Diseases of metabolism,Signaling by Receptor Tyrosine Kinases,GPCR downstream signalling,Beta oxidation of myristoyl-CoA to lauroyl-CoA,Mitochondrial translation,ABC-family proteins mediated transport,N/A
130,Biosynthesis of E-series 18(R)-resolvins,Apoptosis induced DNA fragmentation,,Phospholipid metabolism,POLB-Dependent Long Patch Base Excision Repair,PCNA-Dependent Long Patch Base Excision Repair,Signaling by GPCR,,,Selective autophagy,Arachidonic acid metabolism,Mitochondrial Fatty Acid Beta-Oxidation,Diseases of signal transduction by growth factor receptors and second messengers,Glyoxylate metabolism and glycine degradation,Degradation of GABA,SMAC(DIABLO)-mediated dissociation of IAP:caspase complexes ,Regulation of Apoptosis,Mitochondrial translation initiation,mitochondrial fatty acid beta-oxidation of saturated fatty acids,N/A
131,Biosynthesis of aspirin-triggered D-series resolvins,Stimulation of the cell death response by PAK-2p34,,Death Receptor Signalling,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,POLB-Dependent Long Patch Base Excision Repair,Beta oxidation of butanoyl-CoA to acetyl-CoA,,,Macroautophagy,Metabolism of water-soluble vitamins and cofactors,Metabolic disorders of biological oxidation enzymes,Glyoxylate metabolism and glycine degradation,Regulation of Apoptosis,"GABA synthesis, release, reuptake and degradation",SMAC (DIABLO) binds to IAPs ,Release of apoptotic factors from the mitochondria,Citric acid cycle (TCA cycle),Beta oxidation of butanoyl-CoA to acetyl-CoA,N/A
132,Biosynthesis of E-series 18(S)-resolvins,NADE modulates death signalling,,PINK1-PRKN Mediated Mitophagy,Base Excision Repair,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Iron uptake and transport,,,Autophagy,Diseases of signal transduction by growth factor receptors and second messengers,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Activation of gene expression by SREBF (SREBP),Lysine catabolism,Glutamate and glutamine metabolism,Activation of caspases through apoptosome-mediated cleavage,Biological oxidations,Formation of ATP by chemiosmotic coupling,ABC transporter disorders,N/A
133,Biosynthesis of D-series resolvins,Caspase activation via Dependence Receptors in the absence of ligand,,Mitophagy,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Base Excision Repair,Trafficking of GluR2-containing AMPA receptors,,,Biosynthesis of E-series 18(R)-resolvins,Activation of gene expression by SREBF (SREBP),Activation of BH3-only proteins,Regulation of cholesterol biosynthesis by SREBP (SREBF),Arachidonic acid metabolism,Citric acid cycle (TCA cycle),ABC-family proteins mediated transport,Complex I biogenesis,Metabolism of nucleotides,Disorders of transmembrane transporters,N/A
134,Biosynthesis of EPA-derived SPMs,Caspase activation via extrinsic apoptotic signalling pathway,,Selective autophagy,DNA Repair,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Trafficking of AMPA receptors,,,Biosynthesis of aspirin-triggered D-series resolvins,Regulation of cholesterol biosynthesis by SREBP (SREBF),Activation of BAD and translocation to mitochondria ,Phase I - Functionalization of compounds,Metabolism of water-soluble vitamins and cofactors,NTRK3 as a dependence receptor,ABC transporter disorders,Glucose metabolism,Pyrimidine salvage,Deubiquitination,N/A
135,Biosynthesis of DHA-derived SPMs,Apoptotic cleavage of cell adhesion  proteins,,Macroautophagy,Peroxisomal protein import,DNA Repair,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",,,Biosynthesis of E-series 18(S)-resolvins,Choline catabolism,Metabolism of serotonin,Scavenging by Class A Receptors,Choline catabolism,TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest,Disorders of transmembrane transporters,Metabolism of carbohydrates,Nucleotide salvage,Fatty acyl-CoA biosynthesis,N/A
136,Biosynthesis of specialized proresolving mediators (SPMs),Signaling by Hippo,,Autophagy,Neutrophil degranulation,mitochondrial fatty acid beta-oxidation of saturated fatty acids,Transmission across Chemical Synapses,,,Biosynthesis of D-series resolvins,Mitochondrial ABC transporters,Serotonin clearance from the synaptic cleft,Binding and Uptake of Ligands by Scavenger Receptors,Synthesis of 12-eicosatetraenoic acid derivatives,Signaling by NTRK3 (TRKC),cGMP effects,Regulation of the apoptosome activity,Gluconeogenesis,Lysine catabolism,N/A
137,Conjugation of salicylate with glycine,Degradation of the extracellular matrix,,NOD1/2 Signaling Pathway,Innate Immune System,Beta oxidation of butanoyl-CoA to acetyl-CoA,Cell surface interactions at the vascular wall,,,Biosynthesis of EPA-derived SPMs,Defective ABCB6 causes MCOPCB7,Arachidonic acid metabolism,Golgi Associated Vesicle Biogenesis,Synthesis of 15-eicosatetraenoic acid derivatives,TP53 Regulates Transcription of Cell Cycle Genes,Nitric oxide stimulates guanylate cyclase,Vitamin B1 (thiamin) metabolism,Glucose metabolism,alpha-linolenic acid (ALA) metabolism,N/A
138,Amino Acid conjugation,"Cell death signalling via NRAGE, NRIF and NADE",,"Nucleotide-binding domain, leucine rich repeat containing receptor (NLR) signaling pathways",Biosynthesis of E-series 18(R)-resolvins,Mitochondrial ABC transporters,Neuronal System,,,Biosynthesis of DHA-derived SPMs,Caspase activation via extrinsic apoptotic signalling pathway,Synthesis of 12-eicosatetraenoic acid derivatives,trans-Golgi Network Vesicle Budding,Synthesis of 5-eicosatetraenoic acids,Signaling by NTRKs,G alpha (s) signalling events,Resolution of AP sites via the single-nucleotide replacement pathway,Metabolism of carbohydrates,Peroxisomal lipid metabolism,N/A
139,Conjugation of carboxylic acids,Other interleukin signaling,,C-type lectin receptors (CLRs),Biosynthesis of aspirin-triggered D-series resolvins,Defective ABCB6 causes MCOPCB7,Neurotransmitter receptors and postsynaptic signal transmission,,,Biosynthesis of specialized proresolving mediators (SPMs),Mitochondrial tRNA aminoacylation,Synthesis of 15-eicosatetraenoic acid derivatives,Membrane Trafficking,Pyruvate metabolism,Transcriptional regulation by RUNX2,Platelet homeostasis,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Acyl chain remodeling of CL,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,N/A
140,Conjugation of benzoate with glycine,Caspase-mediated cleavage of cytoskeletal proteins,,The fatty acid cycling model,Biosynthesis of E-series 18(S)-resolvins,Class I peroxisomal membrane protein import,Apoptosis induced DNA fragmentation,,,Defective HDR through Homologous Recombination (HRR) due to PALB2 loss of function,tRNA Aminoacylation,Synthesis of 5-eicosatetraenoic acids,Vesicle-mediated transport,Beta-oxidation of pristanoyl-CoA,Death Receptor Signalling,Metabolism of RNA,PCNA-Dependent Long Patch Base Excision Repair,Regulation of Apoptosis,Linoleic acid (LA) metabolism,N/A
141,Phase II - Conjugation of compounds,p75 NTR receptor-mediated signalling,,The proton buffering model,Biosynthesis of D-series resolvins,Defective ABCD1 causes ALD,Stimulation of the cell death response by PAK-2p34,,,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function,Release of apoptotic factors from the mitochondria,Signaling by GPCR,Vitamin B5 (pantothenate) metabolism,ABC-family proteins mediated transport,Formation of apoptosome,Heme biosynthesis,POLB-Dependent Long Patch Base Excision Repair,Peroxisomal protein import,Signaling by Receptor Tyrosine Kinases,N/A
142,TYSND1 cleaves peroxisomal proteins,Apoptotic execution phase,,Mitochondrial Uncoupling,Biosynthesis of EPA-derived SPMs,ABC transporters in lipid homeostasis,NADE modulates death signalling,,,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function,Conjugation of salicylate with glycine,Complex I biogenesis,Diseases of metabolism,Glycerophospholipid biosynthesis,Signaling by GPCR,Metabolism of porphyrins,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,Transcriptional activation of mitochondrial biogenesis,Regulation of the apoptosome activity,N/A
143,alpha-linolenic acid (ALA) metabolism,Apoptotic cleavage of cellular proteins,,Resolution of AP sites via the single-nucleotide replacement pathway,Biosynthesis of DHA-derived SPMs,Signaling by Retinoic Acid,Apoptotic cleavage of cell adhesion  proteins,,,Diseases of DNA repair,Amino Acid conjugation,The NLRP1 inflammasome,Arachidonic acid metabolism,Phospholipid metabolism,Integration of energy metabolism,tRNA processing,Resolution of AP sites via the multiple-nucleotide patch replacement pathway,Metabolism of serotonin,Choline catabolism,N/A
144,alpha-linolenic (omega3) and linoleic (omega6) acid metabolism,Death Receptor Signalling,,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,Biosynthesis of specialized proresolving mediators (SPMs),RORA activates gene expression,Signaling by Hippo,,,Diseases of DNA Double-Strand Break Repair,Conjugation of carboxylic acids,Inflammasomes,Synthesis of 12-eicosatetraenoic acid derivatives,Regulation of the apoptosome activity,Mitochondrial iron-sulfur cluster biogenesis,tRNA modification in the nucleus and cytosol,Ub-specific processing proteases,Serotonin clearance from the synaptic cleft,Selective autophagy,N/A
145,Beta-oxidation of very long chain fatty acids,Extracellular matrix organization,,Resolution of Abasic Sites (AP sites),,Circadian Clock,Degradation of the extracellular matrix,,,G2/M DNA damage checkpoint,Conjugation of benzoate with glycine,Peroxisomal lipid metabolism,Synthesis of 15-eicosatetraenoic acid derivatives,Citric acid cycle (TCA cycle),Arachidonic acid metabolism,Mitochondrial calcium ion transport,Deubiquitination,Ethanol oxidation,Macroautophagy,N/A
146,Synthesis of bile acids and bile salts via 7alpha-hydroxycholesterol,rRNA processing in the mitochondrion,,PCNA-Dependent Long Patch Base Excision Repair,,Signaling by Nuclear Receptors,"Cell death signalling via NRAGE, NRIF and NADE",,,Presynaptic phase of homologous DNA pairing and strand exchange,GPCR downstream signalling,Membrane Trafficking,Synthesis of 5-eicosatetraenoic acids,ABC transporter disorders,Metabolism of carbohydrates,tRNA modification in the mitochondrion,Post-translational protein modification,Neurotransmitter clearance,Autophagy,N/A
147,Synthesis of bile acids and bile salts,rRNA modification in the mitochondrion,,POLB-Dependent Long Patch Base Excision Repair,,Beta-oxidation of pristanoyl-CoA,Other interleukin signaling,,,Homologous DNA Pairing and Strand Exchange,Glutamate and glutamine metabolism,Vesicle-mediated transport,Intracellular signaling by second messengers,Disorders of transmembrane transporters,Caspase activation via extrinsic apoptotic signalling pathway,SLC-mediated transmembrane transport,Phase I - Functionalization of compounds,Transmission across Chemical Synapses,Interleukin-4 and Interleukin-13 signaling,N/A
148,Bile acid and bile salt metabolism,rRNA processing,,APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway,,Neutrophil degranulation,Caspase-mediated cleavage of cytoskeletal proteins,,,G2/M Checkpoints,Infectious disease,Scavenging by Class A Receptors,Phase II - Conjugation of compounds,Mitochondrial ABC transporters,ChREBP activates metabolic gene expression,Degradation of cysteine and homocysteine,Gluconeogenesis,Neuronal System,Conjugation of salicylate with glycine,N/A
